Dex,Name,Type1,Type2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Level-Up Moves
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405,Double Kick (Lv 0); Scratch (Lv 1); Growl (Lv 1); Ember (Lv 1); Quick Attack (Lv 1); Flame Charge (Lv 9); Detect (Lv 12); Sand Attack (Lv 15); Aerial Ace (Lv 20); Slash (Lv 25); Bounce (Lv 30); Focus Energy (Lv 35); Blaze Kick (Lv 40); Bulk Up (Lv 45); Reversal (Lv 50); Flare Blitz (Lv 55)
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530,Blaze Kick (Lv 0); Scratch (Lv 1); Double Kick (Lv 1); Growl (Lv 1); Quick Attack (Lv 1); Flame Charge (Lv 9); Detect (Lv 12); Sand Attack (Lv 15); Aerial Ace (Lv 20); Slash (Lv 25); Bounce (Lv 30); Focus Energy (Lv 35); Bulk Up (Lv 42); Reversal (Lv 49); Flare Blitz (Lv 56); Brave Bird (Lv 63)
258,Mudkip,Water,,50,70,50,50,50,40,310,Tackle (Lv 1); Growl (Lv 1); Water Gun (Lv 3); Rock Smash (Lv 6); Rock Throw (Lv 9); Protect (Lv 12); Supersonic (Lv 15); Water Pulse (Lv 18); Rock Slide (Lv 21); Take Down (Lv 24); Amnesia (Lv 27); Surf (Lv 30); Screech (Lv 33); Endeavor (Lv 36); Hydro Pump (Lv 39)
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405,Mud Shot (Lv 0); Tackle (Lv 1); Growl (Lv 1); Water Gun (Lv 1); Rock Throw (Lv 9); Protect (Lv 12); Supersonic (Lv 15); Water Pulse (Lv 20); Rock Slide (Lv 25); Take Down (Lv 30); Amnesia (Lv 35); Muddy Water (Lv 40); Screech (Lv 45); Endeavor (Lv 50); Hydro Pump (Lv 55)
260,Swampert,Water,Ground,100,110,90,85,90,60,535,Tackle (Lv 1); Growl (Lv 1); Water Gun (Lv 1); Mud Shot (Lv 1); Rock Throw (Lv 9); Protect (Lv 12); Supersonic (Lv 15); Water Pulse (Lv 20); Rock Slide (Lv 25); Take Down (Lv 30); Amnesia (Lv 35); Muddy Water (Lv 42); Screech (Lv 49); Endeavor (Lv 56); Hydro Pump (Lv 63)
261,Poochyena,Dark,,35,55,35,30,30,35,220,Tackle (Lv 1); Howl (Lv 4); Sand Attack (Lv 7); Bite (Lv 10); Leer (Lv 13); Roar (Lv 16); Swagger (Lv 19); Assurance (Lv 22); Scary Face (Lv 25); Taunt (Lv 28); Crunch (Lv 31); Yawn (Lv 34); Take Down (Lv 36); Sucker Punch (Lv 40); Play Rough (Lv 44)
262,Mightyena,Dark,,70,90,70,60,60,70,420,Snarl (Lv 0); Crunch (Lv 1); Fire Fang (Lv 1); Ice Fang (Lv 1); Thunder Fang (Lv 1); Thief (Lv 1); Sand Attack (Lv 1); Bite (Lv 1); Tackle (Lv 1); Howl (Lv 13); Leer (Lv 13); Roar (Lv 16); Swagger (Lv 20); Assurance (Lv 24); Scary Face (Lv 28); Taunt (Lv 36); Yawn (Lv 44); Take Down (Lv 48); Sucker Punch (Lv 52); Play Rough (Lv 56)
263,Zigzagoon,Normal,,38,30,41,30,41,60,240,Tackle (Lv 1); Growl (Lv 1); Sand Attack (Lv 3); Tail Whip (Lv 6); Covet (Lv 9); Headbutt (Lv 12); Baby-Doll Eyes (Lv 15); Pin Missile (Lv 18); Rest (Lv 21); Take Down (Lv 24); Fling (Lv 27); Flail (Lv 30); Belly Drum (Lv 33); Double-Edge (Lv 36)
264,Linoone,Normal,,78,70,61,50,61,100,420,Slash (Lv 0); Switcheroo (Lv 1); Pin Missile (Lv 1); Baby-Doll Eyes (Lv 1); Tackle (Lv 1); Growl (Lv 1); Sand Attack (Lv 1); Tail Whip (Lv 1); Covet (Lv 9); Headbutt (Lv 12); Hone Claws (Lv 15); Fury Swipes (Lv 18); Rest (Lv 23); Take Down (Lv 28); Fling (Lv 33); Flail (Lv 38); Belly Drum (Lv 43); Double-Edge (Lv 48)
265,Wurmple,Bug,,45,45,35,20,30,20,195,Tackle (Lv 1); String Shot (Lv 1); Poison Sting (Lv 5); Bug Bite (Lv 15)
266,Silcoon,Bug,,50,35,55,25,25,15,205,Harden (Lv 0)
267,Beautifly,Bug,Flying,60,70,50,100,50,65,395,Gust (Lv 0); Absorb (Lv 12); Stun Spore (Lv 15); Morning Sun (Lv 17); Air Cutter (Lv 20); Mega Drain (Lv 22); Silver Wind (Lv 25); Attract (Lv 27); Whirlwind (Lv 30); Giga Drain (Lv 32); Bug Buzz (Lv 35); Rage (Lv 37); Quiver Dance (Lv 40)
268,Cascoon,Bug,,50,35,55,25,25,15,205,Harden (Lv 0)
269,Dustox,Bug,Poison,60,50,70,50,90,65,385,Gust (Lv 0); Confusion (Lv 12); Poison Powder (Lv 15); Moonlight (Lv 17); Venoshock (Lv 20); Psybeam (Lv 22); Silver Wind (Lv 25); Light Screen (Lv 27); Whirlwind (Lv 30); Toxic (Lv 32); Bug Buzz (Lv 35); Protect (Lv 37); Quiver Dance (Lv 40)
270,Lotad,Water,Grass,40,30,30,40,50,30,220,Growl (Lv 1); Astonish (Lv 1); Absorb (Lv 3); Water Gun (Lv 6); Mist (Lv 9); Mega Drain (Lv 12); Flail (Lv 16); Bubble Beam (Lv 20); Leech Seed (Lv 24); Giga Drain (Lv 28); Rain Dance (Lv 33); Zen Headbutt (Lv 38); Energy Ball (Lv 43)
271,Lombre,Water,Grass,60,50,50,60,70,50,340,Growl (Lv 1); Water Gun (Lv 1); Astonish (Lv 1); Teeter Dance (Lv 1); Absorb (Lv 1); Knock Off (Lv 1); Fake Out (Lv 1); Flail (Lv 1); Mist (Lv 9); Mega Drain (Lv 12); Fury Swipes (Lv 18); Bubble Beam (Lv 24); Leech Seed (Lv 30); Giga Drain (Lv 36); Zen Headbutt (Lv 50); Energy Ball (Lv 57); Hydro Pump (Lv 64)
272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,Fake Out (Lv 1); Rain Dance (Lv 1); Bubble Beam (Lv 1)
273,Seedot,Grass,,40,40,50,30,30,30,220,Tackle (Lv 1); Harden (Lv 1); Absorb (Lv 3); Astonish (Lv 6); Growth (Lv 9); Rollout (Lv 12); Mega Drain (Lv 15); Payback (Lv 18); Headbutt (Lv 21); Sunny Day (Lv 24); Synthesis (Lv 27); Sucker Punch (Lv 30); Explosion (Lv 33)
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340,Razor Leaf (Lv 0); Tackle (Lv 1); Absorb (Lv 1); Harden (Lv 1); Explosion (Lv 1); Swagger (Lv 1); Air Cutter (Lv 1); Fake Out (Lv 1); Torment (Lv 1); Astonish (Lv 1); Growth (Lv 9); Rollout (Lv 12); Mega Drain (Lv 18); Payback (Lv 24); Synthesis (Lv 30); Sunny Day (Lv 36); Extrasensory (Lv 43); Sucker Punch (Lv 50); Leaf Blade (Lv 57)
275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,Leaf Blade (Lv 0); Sunny Day (Lv 1); Air Cutter (Lv 1); Payback (Lv 1); Hurricane (Lv 1)
276,Taillow,Normal,Flying,40,55,30,30,30,85,270,Peck (Lv 1); Growl (Lv 1); Focus Energy (Lv 5); Quick Attack (Lv 9); Wing Attack (Lv 13); Double Team (Lv 17); Aerial Ace (Lv 21); Quick Guard (Lv 25); Agility (Lv 29); Air Slash (Lv 33); Endeavor (Lv 37); Brave Bird (Lv 41); Reversal (Lv 45)
277,Swellow,Normal,Flying,60,85,60,75,50,125,455,Brave Bird (Lv 1); Air Slash (Lv 1); Pluck (Lv 1); Peck (Lv 1); Growl (Lv 1); Focus Energy (Lv 1); Quick Attack (Lv 1); Wing Attack (Lv 13); Double Team (Lv 17); Aerial Ace (Lv 21); Quick Guard (Lv 27); Agility (Lv 33); Endeavor (Lv 45); Reversal (Lv 57)
278,Wingull,Water,Flying,40,30,30,55,30,85,270,Growl (Lv 1); Water Gun (Lv 1); Quick Attack (Lv 5); Supersonic (Lv 10); Wing Attack (Lv 15); Water Pulse (Lv 20); Agility (Lv 26); Air Slash (Lv 30); Mist (Lv 35); Roost (Lv 40); Hurricane (Lv 45)
279,Pelipper,Water,Flying,60,50,100,95,70,65,440,Growl (Lv 1); Supersonic (Lv 1); Air Slash (Lv 1); Water Gun (Lv 1); Tailwind (Lv 1); Agility (Lv 1); Quick Attack (Lv 1); Protect (Lv 1); Soak (Lv 1); Wing Attack (Lv 15); Water Pulse (Lv 20); Stockpile (Lv 28); Spit Up (Lv 28); Swallow (Lv 28); Fling (Lv 34); Mist (Lv 41); Roost (Lv 48); Hurricane (Lv 55); Hydro Pump (Lv 62)
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,Growl (Lv 1); Disarming Voice (Lv 1); Double Team (Lv 3); Confusion (Lv 6); Hypnosis (Lv 9); Draining Kiss (Lv 12); Teleport (Lv 15); Psybeam (Lv 18); Life Dew (Lv 21); Charm (Lv 24); Calm Mind (Lv 27); Psychic (Lv 30); Heal Pulse (Lv 33); Dream Eater (Lv 36); Future Sight (Lv 39)
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,Growl (Lv 1); Confusion (Lv 1); Double Team (Lv 1); Disarming Voice (Lv 1); Hypnosis (Lv 9); Draining Kiss (Lv 12); Teleport (Lv 15); Psybeam (Lv 18); Life Dew (Lv 23); Charm (Lv 28); Calm Mind (Lv 33); Psychic (Lv 38); Heal Pulse (Lv 43); Dream Eater (Lv 48); Future Sight (Lv 53)
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,Dazzling Gleam (Lv 0); Growl (Lv 1); Confusion (Lv 1); Mystical Fire (Lv 1); Double Team (Lv 1); Misty Terrain (Lv 1); Charm (Lv 1); Disarming Voice (Lv 1); Healing Wish (Lv 1); Heal Pulse (Lv 1); Hypnosis (Lv 9); Draining Kiss (Lv 12); Teleport (Lv 15); Psybeam (Lv 18); Life Dew (Lv 23); Wish (Lv 28); Calm Mind (Lv 35); Psychic (Lv 42); Moonblast (Lv 49); Dream Eater (Lv 56); Future Sight (Lv 63)
283,Surskit,Bug,Water,40,30,32,50,52,65,269,Water Gun (Lv 1); Quick Attack (Lv 6); Sweet Scent (Lv 9); Soak (Lv 14); Bubble Beam (Lv 17); Agility (Lv 22); Mist (Lv 25); Haze (Lv 25); Baton Pass (Lv 35); Sticky Web (Lv 38)
284,Masquerain,Bug,Flying,70,60,62,100,82,80,454,Whirlwind (Lv 1); Water Gun (Lv 1); Quick Attack (Lv 1); Sweet Scent (Lv 1); Soak (Lv 1); Gust (Lv 17); Scary Face (Lv 22); Air Cutter (Lv 22); Stun Spore (Lv 26); Air Slash (Lv 32); Giga Drain (Lv 38); Bug Buzz (Lv 44); Quiver Dance (Lv 52)
285,Shroomish,Grass,,60,40,60,40,60,35,295,Tackle (Lv 1); Absorb (Lv 1); Stun Spore (Lv 5); Leech Seed (Lv 8); Mega Drain (Lv 12); Headbutt (Lv 15); Poison Powder (Lv 19); Giga Drain (Lv 26); Growth (Lv 29); Toxic (Lv 33); Seed Bomb (Lv 36); Spore (Lv 40)
286,Breloom,Grass,Fighting,60,130,80,60,60,70,460,Mach Punch (Lv 0); Stun Spore (Lv 1); Tackle (Lv 1); Absorb (Lv 1); Leech Seed (Lv 1); Growth (Lv 1); Poison Powder (Lv 1); Toxic (Lv 1); Mega Drain (Lv 12); Headbutt (Lv 15); Feint (Lv 19); Counter (Lv 22); Force Palm (Lv 28); Worry Seed (Lv 33); Brick Break (Lv 39); Seed Bomb (Lv 44); Dynamic Punch (Lv 50); Focus Punch (Lv 55)
287,Slakoth,Normal,,60,60,60,35,35,30,280,Scratch (Lv 1); Yawn (Lv 1); Encore (Lv 6); Slack Off (Lv 9); Headbutt (Lv 14); Amnesia (Lv 17); Covet (Lv 22); Throat Chop (Lv 25); Counter (Lv 30); Flail (Lv 33); Play Rough (Lv 38)
288,Vigoroth,Normal,,80,80,80,55,55,90,440,Scratch (Lv 1); Focus Energy (Lv 1); Encore (Lv 1); Uproar (Lv 1); Fury Swipes (Lv 14); Endure (Lv 17); Slash (Lv 23); Throat Chop (Lv 27); Counter (Lv 33); Focus Punch (Lv 37); Reversal (Lv 43)
289,Slaking,Normal,,150,160,100,95,65,100,670,Swagger (Lv 0); Scratch (Lv 1); Encore (Lv 1); Yawn (Lv 1); Slack Off (Lv 1); Sucker Punch (Lv 1); Amnesia (Lv 17); Covet (Lv 23); Throat Chop (Lv 27); Counter (Lv 33); Flail (Lv 39); Fling (Lv 45); Mega Kick (Lv 52); Hammer Arm (Lv 63)
290,Nincada,Bug,Ground,31,45,90,30,30,40,266,Sand Attack (Lv 1); Scratch (Lv 1); Harden (Lv 5); False Swipe (Lv 10); Mud-Slap (Lv 15); Absorb (Lv 21); Metal Claw (Lv 25); Fury Swipes (Lv 30); Mind Reader (Lv 35); Dig (Lv 40)
291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,Double Team (Lv 0); Screech (Lv 0); Fury Cutter (Lv 0); Baton Pass (Lv 1); Aerial Ace (Lv 1); Mud-Slap (Lv 1); Metal Claw (Lv 1); Dig (Lv 1); Sand Attack (Lv 1); Scratch (Lv 1); Harden (Lv 1); False Swipe (Lv 1); Agility (Lv 15); Absorb (Lv 23); Bug Bite (Lv 29); Fury Swipes (Lv 36); Mind Reader (Lv 43); Slash (Lv 50); Swords Dance (Lv 57); X-Scissor (Lv 64)
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,Shadow Claw (Lv 1); Grudge (Lv 1); Mud-Slap (Lv 1); Metal Claw (Lv 1); Dig (Lv 1); Scratch (Lv 1); Sand Attack (Lv 1); Harden (Lv 1); False Swipe (Lv 1); Confuse Ray (Lv 15); Absorb (Lv 23); Shadow Sneak (Lv 29); Fury Swipes (Lv 36); Mind Reader (Lv 43); Shadow Ball (Lv 50); Spite (Lv 57); Phantom Force (Lv 64)
293,Whismur,Normal,,64,51,23,51,23,28,240,Astonish (Lv 1); Pound (Lv 1); Echoed Voice (Lv 5); Howl (Lv 10); Rest (Lv 15); Sleep Talk (Lv 15); Stomp (Lv 21); Roar (Lv 25); Supersonic (Lv 30); Uproar (Lv 35); Screech (Lv 40); Hyper Voice (Lv 45)
294,Loudred,Normal,,84,71,43,71,43,48,360,Bite (Lv 0); Astonish (Lv 1); Pound (Lv 1); Echoed Voice (Lv 1); Howl (Lv 1); Rest (Lv 15); Sleep Talk (Lv 15); Stomp (Lv 23); Roar (Lv 29); Supersonic (Lv 36); Uproar (Lv 43); Screech (Lv 50); Hyper Voice (Lv 57)
295,Exploud,Normal,,104,91,63,91,73,68,490,Crunch (Lv 0); Bite (Lv 1); Ice Fang (Lv 1); Fire Fang (Lv 1); Thunder Fang (Lv 1); Astonish (Lv 1); Pound (Lv 1); Echoed Voice (Lv 1); Howl (Lv 1); Rest (Lv 15); Sleep Talk (Lv 15); Stomp (Lv 23); Roar (Lv 29); Supersonic (Lv 36); Uproar (Lv 45); Screech (Lv 54); Hyper Voice (Lv 63); Boomburst (Lv 72); Hyper Beam (Lv 81)
296,Makuhita,Fighting,,72,60,30,20,30,25,237,Tackle (Lv 1); Focus Energy (Lv 1); Sand Attack (Lv 4); Arm Thrust (Lv 7); Fake Out (Lv 10); Force Palm (Lv 13); Whirlwind (Lv 16); Knock Off (Lv 19); Bulk Up (Lv 22); Belly Drum (Lv 25); Detect (Lv 28); Seismic Toss (Lv 31); Focus Punch (Lv 34); Endure (Lv 37); Close Combat (Lv 40); Reversal (Lv 43); Heavy Slam (Lv 46)
297,Hariyama,Fighting,,144,120,60,40,60,50,474,Sand Attack (Lv 1); Tackle (Lv 1); Focus Energy (Lv 1); Brine (Lv 1); Arm Thrust (Lv 1); Fake Out (Lv 10); Force Palm (Lv 13); Whirlwind (Lv 16); Knock Off (Lv 19); Bulk Up (Lv 22); Belly Drum (Lv 26); Detect (Lv 30); Seismic Toss (Lv 34); Focus Punch (Lv 38); Endure (Lv 42); Close Combat (Lv 46); Reversal (Lv 50); Heavy Slam (Lv 54); Headlong Rush (Lv 60)
298,Azurill,Normal,Fairy,50,20,40,20,40,20,190,Tail Whip (Lv 1); Water Gun (Lv 1); Splash (Lv 1); Helping Hand (Lv 3); Bubble Beam (Lv 6); Charm (Lv 9); Slam (Lv 12); Bounce (Lv 15)
299,Nosepass,Rock,,30,45,135,45,90,30,375,Tackle (Lv 1); Harden (Lv 4); Block (Lv 7); Rock Throw (Lv 10); Thunder Wave (Lv 13); Rest (Lv 16); Spark (Lv 19); Rock Slide (Lv 22); Power Gem (Lv 25); Rock Blast (Lv 28); Discharge (Lv 31); Sandstorm (Lv 34); Earth Power (Lv 37); Stone Edge (Lv 40); Zap Cannon (Lv 43); Lock-On (Lv 43)
300,Skitty,Normal,,50,45,45,35,35,50,260,Fake Out (Lv 1); Growl (Lv 1); Tail Whip (Lv 1); Tackle (Lv 1); Foresight (Lv 4); Sing (Lv 7); Attract (Lv 10); Disarming Voice (Lv 13); Double Slap (Lv 16); Copycat (Lv 19); Feint Attack (Lv 22); Charm (Lv 25); Wake-Up Slap (Lv 28); Assist (Lv 31); Covet (Lv 34); Heal Bell (Lv 37); Double-Edge (Lv 40); Captivate (Lv 43); Play Rough (Lv 46)
301,Delcatty,Normal,,70,65,65,55,55,90,400,Fake Out (Lv 1); Sing (Lv 1); Attract (Lv 1); Double Slap (Lv 1)
302,Sableye,Dark,Ghost,50,75,75,65,65,50,380,Scratch (Lv 1); Leer (Lv 1); Astonish (Lv 3); Shadow Sneak (Lv 9); Fake Out (Lv 12); Disable (Lv 15); Detect (Lv 18); Night Shade (Lv 21); Fury Swipes (Lv 24); Knock Off (Lv 27); Quash (Lv 30); Shadow Claw (Lv 33); Mean Look (Lv 36); Power Gem (Lv 39); Zen Headbutt (Lv 42); Shadow Ball (Lv 45); Foul Play (Lv 48)
303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,Astonish (Lv 1); Growl (Lv 1); Fairy Wind (Lv 4); Baton Pass (Lv 8); Bite (Lv 12); Stockpile (Lv 16); Swallow (Lv 16); Spit Up (Lv 16); Sucker Punch (Lv 20); Iron Defense (Lv 24); Crunch (Lv 28); Sweet Scent (Lv 32); Iron Head (Lv 36); Taunt (Lv 40); Fake Tears (Lv 44); Play Rough (Lv 48)
304,Aron,Steel,Rock,50,70,100,40,40,30,330,Tackle (Lv 1); Harden (Lv 1); Metal Claw (Lv 4); Rock Tomb (Lv 8); Roar (Lv 12); Headbutt (Lv 16); Protect (Lv 20); Rock Slide (Lv 24); Iron Head (Lv 28); Metal Sound (Lv 33); Take Down (Lv 36); Autotomize (Lv 40); Iron Tail (Lv 44); Iron Defense (Lv 48); Heavy Slam (Lv 52); Double-Edge (Lv 56); Metal Burst (Lv 60)
305,Lairon,Steel,Rock,60,90,140,50,50,40,430,Tackle (Lv 1); Harden (Lv 1); Metal Claw (Lv 1); Rock Tomb (Lv 1); Roar (Lv 12); Headbutt (Lv 16); Protect (Lv 20); Rock Slide (Lv 24); Iron Head (Lv 28); Metal Sound (Lv 35); Take Down (Lv 40); Autotomize (Lv 46); Iron Tail (Lv 52); Iron Defense (Lv 58); Heavy Slam (Lv 64); Double-Edge (Lv 70); Metal Burst (Lv 76)
306,Aggron,Steel,Rock,70,110,180,60,60,50,530,Tackle (Lv 1); Harden (Lv 1); Metal Claw (Lv 1); Rock Tomb (Lv 1); Roar (Lv 12); Headbutt (Lv 16); Protect (Lv 20); Rock Slide (Lv 24); Iron Head (Lv 28); Metal Sound (Lv 35); Take Down (Lv 40); Autotomize (Lv 48); Iron Tail (Lv 56); Iron Defense (Lv 64); Heavy Slam (Lv 72); Double-Edge (Lv 80); Metal Burst (Lv 88)
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,280,Confusion (Lv 1); Work Up (Lv 1); Detect (Lv 9); Endure (Lv 12); Feint (Lv 15); Force Palm (Lv 17); Psybeam (Lv 20); Calm Mind (Lv 23); Zen Headbutt (Lv 25); High Jump Kick (Lv 28); Psych Up (Lv 31); Acupressure (Lv 33); Power Trick (Lv 36); Reversal (Lv 39); Recover (Lv 41); Counter (Lv 44)
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,410,Fire Punch (Lv 1); Ice Punch (Lv 1); Thunder Punch (Lv 1); Work Up (Lv 1); Detect (Lv 1); Confusion (Lv 1); Endure (Lv 12); Feint (Lv 15); Force Palm (Lv 17); Psybeam (Lv 20); Calm Mind (Lv 23); Zen Headbutt (Lv 25); High Jump Kick (Lv 28); Psych Up (Lv 31); Acupressure (Lv 33); Power Trick (Lv 36); Recover (Lv 47); Counter (Lv 53); Axe Kick (Lv 53)
309,Electrike,Electric,,40,45,40,65,40,65,295,Tackle (Lv 1); Thunder Wave (Lv 1); Leer (Lv 4); Howl (Lv 8); Quick Attack (Lv 12); Shock Wave (Lv 16); Bite (Lv 20); Thunder Fang (Lv 24); Roar (Lv 28); Discharge (Lv 32); Charge (Lv 36); Wild Charge (Lv 40); Thunder (Lv 44)
310,Manectric,Electric,,70,75,60,105,60,105,475,Fire Fang (Lv 1); Tackle (Lv 1); Thunder Wave (Lv 1); Leer (Lv 1); Howl (Lv 1); Quick Attack (Lv 12); Shock Wave (Lv 16); Bite (Lv 20); Thunder Fang (Lv 24); Roar (Lv 30); Discharge (Lv 36); Charge (Lv 42); Wild Charge (Lv 48); Thunder (Lv 54); Electric Terrain (Lv 60)
311,Plusle,Electric,,60,50,40,85,75,95,405,Quick Attack (Lv 1); Play Nice (Lv 1); Growl (Lv 1); Thunder Wave (Lv 1); Helping Hand (Lv 4); Spark (Lv 7); Encore (Lv 10); Switcheroo (Lv 13); Swift (Lv 16); Electro Ball (Lv 19); Copycat (Lv 22); Charge (Lv 26); Discharge (Lv 31); Baton Pass (Lv 34); Agility (Lv 37); Last Resort (Lv 40); Thunder (Lv 43); Nasty Plot (Lv 46); Entrainment (Lv 49)
312,Minun,Electric,,60,40,50,75,85,95,405,Quick Attack (Lv 1); Play Nice (Lv 1); Growl (Lv 1); Thunder Wave (Lv 1); Helping Hand (Lv 4); Spark (Lv 7); Encore (Lv 10); Switcheroo (Lv 13); Swift (Lv 16); Electro Ball (Lv 19); Copycat (Lv 22); Charge (Lv 26); Discharge (Lv 31); Baton Pass (Lv 34); Agility (Lv 37); Last Resort (Lv 40); Thunder (Lv 43); Nasty Plot (Lv 46); Entrainment (Lv 49)
313,Volbeat,Bug,,65,73,75,47,85,85,430,Tackle (Lv 1); Double Team (Lv 5); Confuse Ray (Lv 8); Quick Attack (Lv 12); Struggle Bug (Lv 15); Moonlight (Lv 19); Tail Glow (Lv 22); Protect (Lv 26); Zen Headbutt (Lv 29); Helping Hand (Lv 33); Bug Buzz (Lv 36); Play Rough (Lv 40); Double-Edge (Lv 43); Infestation (Lv 47)
314,Illumise,Bug,,65,47,75,73,85,85,430,Tackle (Lv 1); Play Nice (Lv 1); Sweet Scent (Lv 5); Charm (Lv 9); Quick Attack (Lv 12); Struggle Bug (Lv 15); Moonlight (Lv 19); Wish (Lv 22); Encore (Lv 26); Flatter (Lv 29); Zen Headbutt (Lv 33); Helping Hand (Lv 36); Bug Buzz (Lv 40); Play Rough (Lv 43); Infestation (Lv 47)
315,Roselia,Grass,Poison,50,60,45,100,80,65,400,Poison Sting (Lv 0); Absorb (Lv 1); Growth (Lv 1); Stun Spore (Lv 1); Worry Seed (Lv 1); Mega Drain (Lv 5); Leech Seed (Lv 10); Magical Leaf (Lv 15); Toxic Spikes (Lv 20); Sweet Scent (Lv 25); Giga Drain (Lv 30); Synthesis (Lv 35); Toxic (Lv 40); Petal Blizzard (Lv 45); Aromatherapy (Lv 50); Ingrain (Lv 55); Petal Dance (Lv 60)
316,Gulpin,Poison,,70,43,53,43,53,40,302,Pound (Lv 1); Yawn (Lv 5); Poison Gas (Lv 8); Sludge (Lv 10); Amnesia (Lv 12); Acid Spray (Lv 17); Encore (Lv 20); Toxic (Lv 25); Stockpile (Lv 28); Spit Up (Lv 28); Swallow (Lv 28); Sludge Bomb (Lv 33); Gastro Acid (Lv 36); Belch (Lv 41); Pain Split (Lv 44); Gunk Shot (Lv 49)
317,Swalot,Poison,,100,73,83,73,83,55,467,Body Slam (Lv 0); Pound (Lv 1); Sludge (Lv 1); Poison Gas (Lv 1); Yawn (Lv 1); Gunk Shot (Lv 1); Amnesia (Lv 12); Acid Spray (Lv 17); Encore (Lv 20); Toxic (Lv 25); Stockpile (Lv 30); Spit Up (Lv 30); Swallow (Lv 30); Sludge Bomb (Lv 37); Gastro Acid (Lv 42); Belch (Lv 49)
318,Carvanha,Water,Dark,45,90,20,65,20,65,305,Aqua Jet (Lv 1); Leer (Lv 1); Poison Fang (Lv 4); Focus Energy (Lv 8); Scary Face (Lv 12); Bite (Lv 16); Ice Fang (Lv 20); Screech (Lv 24); Swagger (Lv 28); Crunch (Lv 32); Agility (Lv 36); Liquidation (Lv 40); Take Down (Lv 44)
319,Sharpedo,Water,Dark,70,120,40,95,40,95,460,Slash (Lv 0); Night Slash (Lv 1); Aqua Jet (Lv 1); Leer (Lv 1); Poison Fang (Lv 1); Focus Energy (Lv 1); Scary Face (Lv 12); Bite (Lv 16); Ice Fang (Lv 20); Screech (Lv 24); Swagger (Lv 28); Crunch (Lv 34); Agility (Lv 40); Liquidation (Lv 46); Take Down (Lv 52)
320,Wailmer,Water,,130,70,35,70,35,60,400,Splash (Lv 1); Growl (Lv 3); Astonish (Lv 6); Water Gun (Lv 12); Mist (Lv 15); Water Pulse (Lv 18); Heavy Slam (Lv 21); Brine (Lv 24); Whirlpool (Lv 27); Dive (Lv 30); Bounce (Lv 33); Body Slam (Lv 36); Rest (Lv 39); Amnesia (Lv 42); Hydro Pump (Lv 45); Water Spout (Lv 48)
321,Wailord,Water,,170,90,45,90,45,60,500,Soak (Lv 1); Noble Roar (Lv 1); Splash (Lv 1); Growl (Lv 1); Astonish (Lv 1); Water Gun (Lv 1); Mist (Lv 15); Water Pulse (Lv 18); Heavy Slam (Lv 21); Brine (Lv 24); Whirlpool (Lv 27); Dive (Lv 30); Bounce (Lv 33); Body Slam (Lv 36); Rest (Lv 39); Amnesia (Lv 44); Hydro Pump (Lv 49); Water Spout (Lv 54)
322,Numel,Fire,Ground,60,60,40,65,45,35,305,Tackle (Lv 1); Growl (Lv 1); Ember (Lv 5); Focus Energy (Lv 8); Bulldoze (Lv 12); Incinerate (Lv 15); Amnesia (Lv 19); Lava Plume (Lv 22); Earth Power (Lv 26); Curse (Lv 29); Take Down (Lv 31); Earthquake (Lv 40); Flamethrower (Lv 43); Double-Edge (Lv 47)
323,Camerupt,Fire,Ground,70,100,70,105,75,40,460,Rock Slide (Lv 0); Tackle (Lv 1); Growl (Lv 1); Ember (Lv 1); Fissure (Lv 1); Focus Energy (Lv 1); Eruption (Lv 1); Bulldoze (Lv 12); Incinerate (Lv 15); Amnesia (Lv 19); Lava Plume (Lv 22); Earth Power (Lv 26); Curse (Lv 29); Take Down (Lv 31); Yawn (Lv 39); Earthquake (Lv 46)
324,Torkoal,Fire,,70,85,140,85,70,20,470,Ember (Lv 1); Smog (Lv 1); Withdraw (Lv 4); Rapid Spin (Lv 8); Smokescreen (Lv 12); Clear Smog (Lv 16); Flame Wheel (Lv 20); Protect (Lv 24); Lava Plume (Lv 28); Body Slam (Lv 32); Iron Defense (Lv 36); Flamethrower (Lv 40); Curse (Lv 44); Heat Wave (Lv 48); Amnesia (Lv 52); Inferno (Lv 56); Shell Smash (Lv 60); Eruption (Lv 64)
